"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-7408,"P","Provisional value"
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-382.493361,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-337.750644,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-443.762119,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-500.981696,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-383.786039,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,-402.448463,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,-404.291914,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,-433.73308,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,-416.544587,,
"SVN","Slovenia","PCGNPA","Net purchases abroad","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,-408.092026,,
"AUT","Austria","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,4726.24,,
"AUT","Austria","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,3980.39,,
"AUT","Austria","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,3999.52,,
"AUT","Austria","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,4044.88,,
"AUT","Austria","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,4764.02,,
"AUT","Austria","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions",,,4179.79,,
"AUT","Austria","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions",,,4194.43,,
"AUT","Austria","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","EUR","Euro","6","millions",,,4178.48,,
"AUT","Austria","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","EUR","Euro","6","millions",,,4175.93,,
"AUT","Austria","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","EUR","Euro","6","millions",,,4219.71,,
"AUT","Austria","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","EUR","Euro","6","millions","2010","2010",4649.52,,
"AUT","Austria","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","EUR","Euro","6","millions","2010","2010",3936.09,,
